inning_number,half,out,runner_on_1b,runner_on_2b,runner_on_3b,score_diff,total_games,home_wins,win_expectancy
2,bot,1,0,0,1,-4,1,1,1.0
2,bot,1,0,1,1,-5,1,1,1.0
2,bot,2,0,0,0,0,732,331,0.4521857923497268
2,bot,2,1,0,0,0,392,192,0.4897959183673469
2,bot,2,0,0,0,-1,285,91,0.3192982456140351
2,bot,2,0,0,0,1,258,146,0.5658914728682171
2,bot,2,1,0,0,1,168,91,0.5416666666666666
2,bot,2,1,0,0,-1,161,52,0.32298136645962733
2,bot,2,1,1,0,0,157,86,0.5477707006369427
2,bot,2,0,0,0,-2,151,37,0.24503311258278146
2,bot,2,0,0,0,2,120,84,0.7
2,bot,2,0,1,0,0,114,61,0.5350877192982456
2,bot,2,1,0,0,-2,96,32,0.3333333333333333
2,bot,2,1,0,0,2,95,62,0.6526315789473685
2,bot,2,0,0,0,-3,92,20,0.21739130434782608
2,bot,2,0,0,0,3,85,64,0.7529411764705882
2,bot,2,1,1,0,1,82,56,0.6829268292682927
2,bot,2,0,1,0,1,74,48,0.6486486486486487
2,bot,2,1,1,0,-1,67,25,0.373134328358209
2,bot,2,1,0,0,3,64,46,0.71875
2,bot,2,1,1,1,0,63,34,0.5396825396825397
2,bot,2,1,0,1,0,60,31,0.5166666666666667
2,bot,2,1,0,0,-3,54,11,0.2037037037037037
2,bot,2,0,0,1,0,52,26,0.5
2,bot,2,1,1,0,2,52,30,0.5769230769230769
2,bot,2,0,1,0,2,50,31,0.62
2,bot,2,0,0,0,-4,45,9,0.2
2,bot,2,0,0,1,1,44,27,0.6136363636363636
2,bot,2,1,1,1,1,43,23,0.5348837209302325
2,bot,2,0,1,1,0,42,14,0.3333333333333333
2,bot,2,1,1,0,-2,42,15,0.35714285714285715
2,bot,2,0,1,0,-1,41,15,0.36585365853658536
2,bot,2,1,0,0,4,36,36,1.0
2,bot,2,1,0,0,-4,34,3,0.08823529411764706
2,bot,2,0,1,0,3,33,23,0.696969696969697
2,bot,2,1,0,1,1,33,17,0.5151515151515151
2,bot,2,0,0,0,4,32,29,0.90625
2,bot,2,1,1,0,3,30,23,0.7666666666666667
